Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,8,500,A,1,47,NA,80,JPD,
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,8,500,B,5,6,NA,80,JPD,
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,8,500,C,5,7,NA,80,JPD,
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,9,500,A,1,30,NA,80,JPD,
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,9,500,B,5,16,NA,80,JPD,
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,9,500,C,5,9,NA,80,JPD,
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,9,500,A,1,66,NA,80,JPD,
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,9,500,B,5,20,NA,80,JPD,
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,9,500,C,5,10,NA,80,JPD,
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,9,500,A,1,14,NA,80,JPD,
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,9,500,B,5,6,NA,80,JPD,
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,9,500,C,5,10,NA,80,JPD,
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,9,500,A,1,33,NA,80,JPD,
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,9,500,B,5,39,NA,80,JPD,
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,9,500,C,5,53,NA,80,JPD,
FCR2015,BVR_50,23-Jul-15,12:00,B23Jul15_9m,9,500,A,1,38,NA,80,JPD,
FCR2015,BVR_50,23-Jul-15,12:00,B23Jul15_9m,9,500,B,5,20,NA,80,JPD,
FCR2015,BVR_50,23-Jul-15,12:00,B23Jul15_9m,9,500,C,5,14,NA,80,JPD,
FCR2015,BVR_50,30-Jul-15,12:00,B13Jul115_9m,9,500,A,1,47,NA,80,JPD,
FCR2015,BVR_50,30-Jul-15,12:00,B13Jul115_9m,9,500,B,5,16,NA,80,JPD,
FCR2015,BVR_50,30-Jul-15,12:00,B13Jul115_9m,9,500,C,5,15,NA,80,JPD,
FCR2015,BVR_50,13-Aug-15,12:00,B13Aug15_9m,9,500,A,1,27,NA,80,JPD,
FCR2015,BVR_50,13-Aug-15,12:00,B13Aug15_9m,9,500,B,5,10,NA,80,JPD,
FCR2015,BVR_50,13-Aug-15,12:00,B13Aug15_9m,9,500,C,5,12,NA,80,JPD,
FCR2015,BVR_50,4-Sep-15,12:00,B4Sep15_9m,9,500,A,1,49,NA,80,JPD,
FCR2015,BVR_50,4-Sep-15,12:00,B4Sep15_9m,9,500,B,5,20,NA,80,JPD,
FCR2015,BVR_50,4-Sep-15,12:00,B4Sep15_9m,9,500,C,5,29,NA,80,JPD,
FCR2015,BVR_50,18-Sep-15,12:00,B18Sep15_9m,9,500,A,1,45,NA,80,JPD,
FCR2015,BVR_50,18-Sep-15,12:00,B18Sep15_9m,9,500,B,5,24,NA,80,JPD,
FCR2015,BVR_50,18-Sep-15,12:00,B18Sep15_9m,9,500,C,5,19,NA,80,JPD,
FCR2015,BVR_50,2-Oct-15,12:00,B2Oct15_9m,9,500,A,1,60,NA,80,JPD,
FCR2015,BVR_50,2-Oct-15,12:00,B2Oct15_9m,9,500,B,5,35,NA,80,JPD,
FCR2015,BVR_50,2-Oct-15,12:00,B2Oct15_9m,9,500,C,5,34,NA,80,JPD,
FCR2015,BVR_50,23-Oct-15,12:00,B23Oct15_9m,9,500,A,1,64,NA,80,JPD,
FCR2015,BVR_50,23-Oct-15,12:00,B23Oct15_9m,9,500,B,5,63,NA,80,JPD,
FCR2015,BVR_50,23-Oct-15,12:00,B23Oct15_9m,9,500,C,5,52,NA,80,JPD,
FCR2016,BVR_50,6-Apr-16,12:00,B6Apr16_9m,9,500,A,3,83,NA,80,JPD,
FCR2016,BVR_50,6-Apr-16,12:00,B6Apr16_9m,9,500,B,10,15,NA,80,JPD,
FCR2016,BVR_50,6-Apr-16,12:00,B6Apr16_9m,9,500,C,10,14,NA,80,JPD,
FCR2016,BVR_50,20-Apr-16,12:00,B20Apr16_8m,8,500,A,3,63,NA,80,JPD,
FCR2016,BVR_50,20-Apr-16,12:00,B20Apr16_8m,8,500,B,10,22,NA,80,JPD,
FCR2016,BVR_50,20-Apr-16,12:00,B20Apr16_8m,8,500,C,10,29,NA,80,JPD,
FCR2016,BVR_50,4-May-16,12:00,B4May16_9m,9,500,A,1,29,NA,80,JPD,
FCR2016,BVR_50,4-May-16,12:00,B4May16_9m,9,500,B,10,44,NA,80,JPD,
FCR2016,BVR_50,4-May-16,12:00,B4May16_9m,9,500,C,10,37,NA,80,JPD,
FCR2016,BVR_50,19-May-16,12:00,B19May16_9m,9,500,A,2,128,NA,80,JPD,
FCR2016,BVR_50,19-May-16,12:00,B19May16_9m,9,500,B,10,31,NA,80,JPD,
FCR2016,BVR_50,19-May-16,12:00,B19May16_9m,9,500,C,10,29,NA,80,JPD,
FCR2016,BVR_50,2-Jun-16,12:00,B2Jun16_9m,9,500,A,2,374,NA,80,JPD,
FCR2016,BVR_50,2-Jun-16,12:00,B2Jun16_9m,9,500,B,10,41,NA,80,JPD,
FCR2016,BVR_50,2-Jun-16,12:00,B2Jun16_9m,9,500,C,10,47,NA,80,JPD,
FCR2016,BVR_50,23-Jun-16,12:00,B23Jun16_9m,9,500,A,1,73,NA,80,JPD,
FCR2016,BVR_50,23-Jun-16,12:00,B23Jun16_9m,9,500,B,5,58,NA,80,JPD,
FCR2016,BVR_50,23-Jun-16,12:00,B23Jun16_9m,9,500,C,5,67,NA,80,JPD,
FCR2016,BVR_50,7-Jul-16,12:00,B7Jul16_9m,9,500,A,2,88,NA,80,JPD,
FCR2016,BVR_50,7-Jul-16,12:00,B7Jul16_9m,9,500,B,5,16,NA,80,JPD,
FCR2016,BVR_50,7-Jul-16,12:00,B7Jul16_9m,9,500,C,5,12,NA,80,JPD,
FCR2016,BVR_50,21-Jul-16,12:00,B21Jul16_9m,9,500,A,3,84,NA,80,JPD,
FCR2016,BVR_50,21-Jul-16,12:00,B21Jul16_9m,9,500,B,10,37,NA,80,JPD,
FCR2016,BVR_50,21-Jul-16,12:00,B21Jul16_9m,9,500,C,10,40,NA,80,JPD,
FCR2016,BVR_50,11-Aug-16,12:00,B11Aug16_9m,9,500,A,3,60,NA,80,JPD,
FCR2016,BVR_50,11-Aug-16,12:00,B11Aug16_9m,9,500,B,10,38,NA,80,JPD,
FCR2016,BVR_50,11-Aug-16,12:00,B11Aug16_9m,9,500,C,10,37,NA,80,JPD,
FCR2016,BVR_50,23-Aug-16,12:00,B23Aug16_9m,9,500,A,2,91,NA,80,JPD,
FCR2016,BVR_50,23-Aug-16,12:00,B23Aug16_9m,9,500,B,5,43,NA,80,JPD,
FCR2016,BVR_50,23-Aug-16,12:00,B23Aug16_9m,9,500,C,5,45,NA,80,JPD,
FCR2016,BVR_50,6-Sep-16,12:00,B6Sep16_9m,9,500,A,1,32,NA,80,JPD,
FCR2016,BVR_50,6-Sep-16,12:00,B6Sep16_9m,9,500,B,5,85,NA,80,JPD,
FCR2016,BVR_50,27-Sep-16,12:00,B27Sep16_9m,9,500,A,1,33,NA,80,JPD,
FCR2016,BVR_50,27-Sep-16,12:00,B27Sep16_9m,9,500,B,5,75,NA,80,JPD,
FCR2016,BVR_50,27-Sep-16,12:00,B27Sep16_9m,9,500,C,5,69,NA,80,JPD,
FCR2016,BVR_50,25-Oct-16,12:00,B25Oct19_9m,9,500,A,2,49,NA,80,JPD,
FCR2016,BVR_50,25-Oct-16,12:00,B25Oct19_9m,9,500,B,10,54,NA,80,JPD,
FCR2016,BVR_50,25-Oct-16,12:00,B25Oct19_9m,9,500,C,10,63,NA,80,JPD,
