Project,site_no,collect_date,Hour,sample_ID,Subsample,LowestTaxonomicLevelOfID,TaxaID,Nauplius,ObjectiveMagnification,MarksInOcularMicrometer_No.,MarksInOcularMicrometer_Width_No.,MarksInOcularMicrometer_Height_No.,Initials
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Family,Cyclopidae,,40x,37,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,A,Genus,Conochilus,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,24,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,22,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,23,,,JPD
